Specimen,Non-augmented,Augmented
Spine 1 L1,2991,2339
Spine 1 L2,3456,3980
Spine 1 L3,3244,4152
Spine 1 L4,3223,4744
Spine 1 L5,2891,4273
Spine 2 L1,6149,7119
Spine 3 L1,5153,4444
Spine 3 L2,5357,4848
Spine 3 L3,5338,4779
Spine 4 L1,3277,3231
Spine 4 L2,5064,5042
Spine 4 L3,6098,5749
Spine 4 L4,4957,4488
Spine 4 L5,7185,4403
